,STATENAME,ACTIVITY LEVEL,WEEK,SEASON
3599,Ohio,1,26,2016
3600,Ohio,1,25,2016
3601,Ohio,1,24,2016
3602,Ohio,1,23,2016
3603,Ohio,1,22,2016
3604,Ohio,1,21,2016
3605,Ohio,1,20,2016
3606,Ohio,1,19,2016
3607,Ohio,1,18,2016
3608,Ohio,1,17,2016
3609,Ohio,1,16,2016
3610,Ohio,1,15,2016
3611,Ohio,1,14,2016
3612,Ohio,2,13,2016
3613,Ohio,3,12,2016
3614,Ohio,3,11,2016
3615,Ohio,3,10,2016
3616,Ohio,4,9,2016
3617,Ohio,8,8,2016
3618,Ohio,6,7,2016
3619,Ohio,6,6,2016
3620,Ohio,1,5,2016
3621,Ohio,3,4,2016
3622,Ohio,2,3,2016
3623,Ohio,1,2,2016
3624,Ohio,1,1,2016
3625,Ohio,1,52,2016
3626,Ohio,1,51,2016
3627,Ohio,1,50,2016
3628,Ohio,1,49,2016
3629,Ohio,1,48,2016
3630,Ohio,1,47,2016
3631,Ohio,1,46,2016
3632,Ohio,1,45,2016
3633,Ohio,1,44,2016
3634,Ohio,1,43,2016
3635,Ohio,1,42,2016
3636,Ohio,1,41,2016
3637,Ohio,1,40,2016
3638,Oregon,1,39,2016
3639,Oregon,1,38,2016
3640,Oregon,1,37,2016
3641,Oregon,1,36,2016
3642,Oregon,1,35,2016
3643,Oregon,1,34,2016
3644,Oregon,1,33,2016
3645,Oregon,1,32,2016
3646,Oregon,1,31,2016
3647,Oregon,1,30,2016
3648,Oregon,1,29,2016
3649,Oregon,1,28,2016
3650,Oregon,1,27,2016
3651,Oregon,1,26,2016
3652,Oregon,1,25,2016
3653,Oregon,1,24,2016
3654,Oregon,1,23,2016
3655,Oregon,1,22,2016
3656,Oregon,1,21,2016
3657,Oregon,1,20,2016
3658,Oregon,1,19,2016
3659,Oregon,1,18,2016
3660,Oregon,1,17,2016
3661,Oregon,1,16,2016
3662,Oregon,1,15,2016
3663,Oregon,1,14,2016
3664,Oregon,1,13,2016
3665,Oregon,1,12,2016
3666,Oregon,3,11,2016
3667,Oregon,2,10,2016
3668,Oregon,4,9,2016
3669,Oregon,4,8,2016
3670,Oregon,5,7,2016
3671,Oregon,6,6,2016
3672,Oregon,5,5,2016
3673,Oregon,5,4,2016
3674,Oregon,4,3,2016
3675,Oregon,2,2,2016
3676,Oregon,10,1,2016
3677,Oregon,10,52,2016
3678,Oregon,3,51,2016
3679,Oregon,2,50,2016
3680,Oregon,1,49,2016
3681,Oregon,1,48,2016
3682,Oregon,1,47,2016
3683,Oregon,1,46,2016
3684,Oregon,1,45,2016
3685,Oregon,1,44,2016
3686,Oregon,1,43,2016
3687,Oregon,1,42,2016
3688,Oregon,1,41,2016
3689,Oregon,1,40,2016
3690,Rhode Island,1,39,2016
3691,Rhode Island,1,38,2016
